"NOME_FANTASIA","SITUACAO_CADASTRAL","DATA_INICIO_ATIVIDADE","CNAE_FISCAL_PRINCIPAL","CNPJ"
"MIRAGINA","2","19720518","1092900","4063681000198"
"RONDONIA RURAL AGROINDUSTRIAL","2","20110510","1621800","63773253000380"
"TECALIPTO","2","20130611","1610203","18275306000116"
"MADEIREIRA CANDEIAS","2","20150423","1610203","22316161000121"
"MADEIREIRA CARDOSO","2","20200203","1610203","36231383000156"
"FLORESTAL E PECUARIA SAMAUMA LTDA.","2","20220315","151201","45659740000172"
"FOREST ARK FLONA DO JAMARI SPE LTDA","2","20220427","220901","46166538000171"
"J C SILVA COMERCIO DE MADEIRAS LTDA","2","20220715","4744002","47164024000140"
"LANO DO BRASIL LTDA","2","20231214","1621800","53205478000114"
"MADEIREIRA CRAQUE","2","20030513","1610203","5655502000174"
"MADEIREIRA GHELLER","2","19860520","1610203","5952031000166"
"STRATEGIC SISTEMAS LTDA","2","19960514","220901","1192560000158"
"CONSTRUMAD CONSTRUT. E MAD. IMP. EXP. E REFLORESTAMENTO","4","19930317","4313400","84587104000134"
"RIO NEGRO AGROFLORESTAL LTDA","2","19891124","230600","34542720000109"
"MADEIREIRA MAICONDINI","2","19891207","1610203","34740696000104"
"ASSOCIACAO JIPURU","2","20051128","220901","7786145000109"
"COOPERAR","2","20031020","1069400","5995753000106"
"CURUMIM AGROPECUARIA LTDA","2","19810224","210105","4008157000114"
"KAYA INDUSTRIA IMP. E EXP. LTDA","2","20040513","4744002","6285239000131"
"CAMARU INDUSTRIA E COMERCIO DE MADEIRAS LTDA","2","19850627","1610203","5757158000124"
"MADERAZI","2","20061214","1610203","8609390000103"
"MADEIREIRA BAMBU","2","20100225","1610203","11602746000191"
"GUATAMURU","2","20100820","9499500","13326124000103"
"ACBEM","2","20121005","9499500","17027357000166"
"ASSOCIACAO CURUMINIM","2","20130426","9499500","18043681000130"
"C. L. MADEIRAS","2","20130214","1621800","17577288000164"
"RRX MINERACAO E SERVICO","2","20160912","220901","4348929000671"
"MADEIREIRA ANDRADINA","2","20180312","1610203","29908468000160"
